"","FID","network_name","native_id","station_name","elev","min_obs_time","max_obs_time","freq","province","station_id","history_id","country","comments","the_geom","sensor_id","description","network_id","col_hex","vars","display_names","geometry","MAP_LABEL"
"1","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4826","BCH","AKI","Akie nr the 760m contour",760,1982-10-16 00:00:00,2019-02-28 00:00:00,"daily","BC",2428,2831,NA,NA,"POINT (-124.8955556 57.18833333)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1066674.42613196, 1355958.02052598),"BWBSdk"
"2","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4827","BCH","AKN","Aiken Lake",970,1960-01-02 00:00:00,2019-02-28 00:00:00,"daily","BC",2429,2832,NA,NA,"POINT (-125.7416667 56.43666667)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1015901.98759239, 1271608.67159859),"BWBSdk"
"3","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4833","BCH","CHW","Chowade Upper",1480,1980-09-15 00:00:00,2019-02-28 00:00:00,"daily","BC",2441,2844,NA,NA,"POINT (-122.7788667 56.63683333)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1197196.47541563, 1298401.68629846),"ESSFmvp"
"4","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4849","BCH","FIN","Finlay R. ab Akie R.",711,1960-01-02 00:00:00,2019-02-28 00:00:00,"daily","BC",2459,2862,NA,NA,"POINT (-125.2491667 57.125)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1045403.11705325, 1348614.6231926),"BWBSdk"
"5","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_485a","BCH","LST","Williston @ Lost Cabin Ck",712,1983-09-23 00:00:00,2019-02-28 00:00:00,"daily","BC",2477,2880,NA,NA,"POINT (-123.7467167 56.05063333)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1140051.18731431, 1230728.75820561),"SBSmk2"
"6","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4862","BCH","PAK","Pack R. @ outlet of Mcleod Lk",675,1960-01-02 00:00:00,2019-02-28 00:00:00,"daily","BC",2489,2892,NA,NA,"POINT (-123.0366083 54.99784444)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1189082.40061855, 1114947.21402532),"SBSmk1"
"7","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4865","BCH","PRS","Parsnip R. ab Misinchinka R.",700,1983-09-16 00:00:00,2019-02-28 00:00:00,"daily","BC",2494,2897,NA,NA,"POINT (-122.9 55.08)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1197391.93501654, 1124482.31253652),"SBSwk2"
"8","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_489c","EC","1188297","TUMBLER RIDGE",824,1985-03-01 00:00:00,2003-03-31 00:00:00,"daily","BC",1433,1836,NA,NA,"POINT (-121.483333 55.133333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","thickness_of_rainfall_amount_sum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperature_maximum, thickness_of_snowfall_amount_sum, air_temperature_minimum, surface_snow_thickness_point, air_temperaturet: mean within days t: mean within months t: mean over years","Rainfall Amount|Precipitation Amount|Temperature Climatology (Min.)|Precipitation Climatology|Temperature Climatology (Max.)|Temperature (Max.)|Snowfall Amount|Temperature (Min.)|Surface Snow Depth (Point)|Temperature Climatology (Mean)",c(1287115.16649259, 1135275.35681347),"ESSFmv2"
"9","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_48ef","EC","1200560","ATLIN",673.6,1899-03-01 00:00:00,2019-08-31 00:00:00,"daily","BC",1469,1872,NA,NA,"POINT (-133.7 59.56667)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperature_minimum, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperature_maximum, thickness_of_rainfall_amount_sum, surface_snow_thickness_point, air_temperaturet: mean within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years","Precipitation Amount|Temperature Climatology (Max.)|Temperature (Min.)|Temperature Climatology (Min.)|Snowfall Amount|Temperature (Max.)|Rainfall Amount|Surface Snow Depth (Point)|Temperature Climatology (Mean)|Precipitation Climatology",c(564813.819731736, 1644057.87688435),"BWBSdk"
"10","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4959","EC","1096450","PRINCE GEORGE A",691.3,1942-07-01 00:00:00,2009-10-21 00:00:00,"daily","BC",793,1196,NA,NA,"POINT (-122.6789 53.89083)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperature_minimum, thickness_of_rainfall_amount_sum, surface_snow_thickness_point, air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years","Precipitation Amount|Temperature (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)|Snowfall Amount|Temperature (Min.)|Rainfall Amount|Surface Snow Depth (Point)|Temperature Climatology (Max.)|Precipitation Climatology",c(1217685.15462863, 992533.765772643),"SBSmk1"
